województwo,rok,kapusta za 1 kg,cebula za 1 kg,marchew za 1 kg,buraki za 1 kg,ogórki za 1 kg,pomidory za 1 kg,kalafiory za 1 szt,inne warzywa za 1 kg,jabłka za 1 kg,gruszki za 1 kg,śliwki za 1 kg,brzoskwinie za 1 kg,wiśnie za 1 kg,czereśnie za 1 kg,truskawki za 1 kg,maliny za 1 kg,porzeczki za 1 kg,agrest za 1 kg,orzechy włoskie i laskowe za 1 kg,inne owoce za 1 kg
MAŁOPOLSKIE,2012,0.57,0.55,0.76,0.45,2.23,3.38,0.93,1.67,0.7,1.92,1.64,2.7,2.82,4.81,4.7,2.94,1.69,3.43,18.29,1.77
MAŁOPOLSKIE,2013,0.72,0.6,0.78,0.64,2.05,2.39,0.96,1.64,0.99,1.42,1.02,2.15,2.1,4.8,1.8,5.28,1.61,3.29,14.18,6.1
MAŁOPOLSKIE,2014,0.59,0.7,0.6,0.54,1.85,2.79,1.03,1.7,0.5,1.33,0.91,1.91,1.31,4.38,2.71,4.69,1.28,2.87,15.13,2.03
MAŁOPOLSKIE,2015,0.86,0.85,0.97,0.61,2.25,2.71,1.1,2.03,0.74,1.78,1.45,1.31,2.39,5.52,2.0,8.62,1.26,1.7,28.43,4.21
MAŁOPOLSKIE,2016,0.76,0.78,0.77,0.55,1.88,2.99,1.1,1.92,0.58,1.73,1.25,2.33,1.2,6.71,2.97,3.94,1.49,1.11,15.13,4.03
MAŁOPOLSKIE,2017,0.54,0.53,0.51,0.5,2.65,3.18,1.23,1.86,0.95,1.83,2.2,3.2,3.67,7.53,4.39,4.73,1.61,1.88,35.26,2.4
MAŁOPOLSKIE,2018,0.67,0.92,0.83,0.61,2.69,3.42,1.14,2.47,0.55,1.69,0.8,1.2,1.18,6.64,3.88,4.01,1.04,1.09,10.58,2.74
MAŁOPOLSKIE,2019,1.5,1.99,1.11,0.78,2.81,3.97,1.36,2.27,0.65,1.56,1.22,1.71,2.11,7.71,2.92,9.33,1.24,1.07,14.1,4.24
MAŁOPOLSKIE,2020,0.96,1.38,0.72,0.57,3.08,3.9,1.76,1.55,1.03,1.42,0.93,2.27,1.92,7.79,3.61,8.67,3.03,0.92,11.46,2.63
ŚLĄSKIE,2012,0.71,0.97,0.72,0.36,1.76,2.64,1.26,1.92,0.6,2.36,2.67,4.93,3.67,5.77,5.01,3.54,1.94,2.63,11.26,5.72
