powiat,rok,wartość
powiat bocheński,2011,292976291.28
powiat bocheński,2012,331022344.86
powiat bocheński,2013,318138039.64
powiat bocheński,2014,336135776.43
powiat bocheński,2015,333763336.91
powiat bocheński,2016,404682016.26
powiat bocheński,2017,466221087.9
powiat bocheński,2018,494871505.2
powiat bocheński,2019,565185428.31
powiat krakowski,2011,717114490.88
powiat krakowski,2012,743229093.02
powiat krakowski,2013,777304817.39
powiat krakowski,2014,848602696.18
powiat krakowski,2015,910814213.78
powiat krakowski,2016,1051294644.68
powiat krakowski,2017,1147392947.24
powiat krakowski,2018,1269943810.42
powiat krakowski,2019,1511601990.71
powiat miechowski,2011,134684776.81
powiat miechowski,2012,139331845.22
powiat miechowski,2013,139385459.92
powiat miechowski,2014,146303426.43
powiat miechowski,2015,152088165.17
powiat miechowski,2016,171421459.11
powiat miechowski,2017,186529006.29
powiat miechowski,2018,202494281.5
powiat miechowski,2019,229872021.0
powiat myślenicki,2011,421106545.56
powiat myślenicki,2012,412106704.45
powiat myślenicki,2013,390962612.43
powiat myślenicki,2014,452986496.38
powiat myślenicki,2015,422996259.11
powiat myślenicki,2016,514687846.39
powiat myślenicki,2017,544452120.8
powiat myślenicki,2018,575862046.78
powiat myślenicki,2019,665460908.78
powiat proszowicki,2011,129381035.48
powiat proszowicki,2012,130184637.29
powiat proszowicki,2013,132094298.18
powiat proszowicki,2014,131708982.69
powiat proszowicki,2015,144079887.87
powiat proszowicki,2016,163708292.45
powiat proszowicki,2017,170617600.43
powiat proszowicki,2018,193910365.02
powiat proszowicki,2019,210251492.0
powiat wielicki,2011,360994857.38
powiat wielicki,2012,326060641.72
powiat wielicki,2013,372323455.63
powiat wielicki,2014,404692290.72
powiat wielicki,2015,457199961.01
powiat wielicki,2016,503812245.31
powiat wielicki,2017,552382259.7
powiat wielicki,2018,626139653.24
powiat wielicki,2019,737078758.99
powiat Kraków,2011,3336490733.37
powiat Kraków,2012,3445907816.6
powiat Kraków,2013,3735659621.24
powiat Kraków,2014,4048337176.31
powiat Kraków,2015,4135985727.8
powiat Kraków,2016,4650430144.87
powiat Kraków,2017,4960481293.86
powiat Kraków,2018,5307143311.36
powiat Kraków,2019,5912034361.01
powiat gorlicki,2011,349762560.39
powiat gorlicki,2012,343061418.89
powiat gorlicki,2013,337974381.78
powiat gorlicki,2014,356098342.2
powiat gorlicki,2015,363477900.78
powiat gorlicki,2016,424104574.95
powiat gorlicki,2017,466106204.91
powiat gorlicki,2018,507988118.45
powiat gorlicki,2019,577189341.71
powiat limanowski,2011,415593493.75
powiat limanowski,2012,414497275.12
powiat limanowski,2013,414283665.59
powiat limanowski,2014,455635427.01
powiat limanowski,2015,462990510.9
powiat limanowski,2016,541328415.29
powiat limanowski,2017,589985562.66
powiat limanowski,2018,653261209.55
powiat limanowski,2019,700993367.35
powiat nowosądecki,2011,717526485.95
powiat nowosądecki,2012,727217731.07
powiat nowosądecki,2013,709438971.82
powiat nowosądecki,2014,750048924.88
powiat nowosądecki,2015,820048493.58
