powiat,rok,wartość
powiat bocheński,2011,925.92
powiat bocheński,2012,841.37
powiat bocheński,2013,926.05
powiat bocheński,2014,982.2
powiat bocheński,2015,923.89
powiat bocheński,2016,915.06
powiat bocheński,2017,979.36
powiat bocheński,2018,1073.12
powiat bocheński,2019,1134.73
powiat krakowski,2011,652.67
powiat krakowski,2012,592.39
powiat krakowski,2013,590.69
powiat krakowski,2014,616.05
powiat krakowski,2015,640.7
powiat krakowski,2016,684.61
powiat krakowski,2017,745.67
powiat krakowski,2018,801.32
powiat krakowski,2019,890.25
powiat miechowski,2011,1199.39
powiat miechowski,2012,1178.38
powiat miechowski,2013,1343.35
powiat miechowski,2014,1130.69
powiat miechowski,2015,1249.43
powiat miechowski,2016,1165.55
powiat miechowski,2017,1171.31
powiat miechowski,2018,1356.9
powiat miechowski,2019,1500.72
powiat myślenicki,2011,796.64
powiat myślenicki,2012,825.27
powiat myślenicki,2013,861.75
powiat myślenicki,2014,838.24
powiat myślenicki,2015,767.94
powiat myślenicki,2016,788.63
powiat myślenicki,2017,850.63
powiat myślenicki,2018,911.14
powiat myślenicki,2019,1016.45
powiat proszowicki,2011,817.74
powiat proszowicki,2012,810.04
powiat proszowicki,2013,796.3
powiat proszowicki,2014,785.94
powiat proszowicki,2015,843.62
powiat proszowicki,2016,903.28
powiat proszowicki,2017,947.49
powiat proszowicki,2018,1018.97
powiat proszowicki,2019,1151.81
powiat wielicki,2011,524.44
powiat wielicki,2012,521.9
powiat wielicki,2013,524.61
powiat wielicki,2014,571.91
powiat wielicki,2015,610.21
powiat wielicki,2016,631.24
powiat wielicki,2017,735.62
powiat wielicki,2018,717.23
powiat wielicki,2019,824.97
powiat Kraków,2011,0.0
powiat Kraków,2012,0.0
powiat Kraków,2013,0.0
powiat Kraków,2014,0.0
powiat Kraków,2015,0.0
powiat Kraków,2016,0.0
powiat Kraków,2017,0.0
powiat Kraków,2018,0.0
powiat Kraków,2019,0.0
powiat gorlicki,2011,1004.79
powiat gorlicki,2012,990.38
powiat gorlicki,2013,956.13
powiat gorlicki,2014,1041.57
powiat gorlicki,2015,1300.54
powiat gorlicki,2016,1017.28
powiat gorlicki,2017,977.99
powiat gorlicki,2018,1071.9
powiat gorlicki,2019,1182.5
powiat limanowski,2011,1011.89
powiat limanowski,2012,876.28
powiat limanowski,2013,923.9
powiat limanowski,2014,954.32
powiat limanowski,2015,932.85
powiat limanowski,2016,957.41
powiat limanowski,2017,957.29
powiat limanowski,2018,1056.91
powiat limanowski,2019,1233.56
powiat nowosądecki,2011,731.54
powiat nowosądecki,2012,640.61
powiat nowosądecki,2013,666.3
