rok,rodzaj,przedsiębiorstwa objęte badaniem,przychody z całokształtu działalności (przychody ogółem),zysk brutto,zysk netto,kredyty bankowe i pożyczki,wynik finansowy brutto,wskaźnik płynności finansowej I stopnia,przychody netto ze sprzedaży towarów i materiałów,aktywa obrotowe,zobowiązania długoterminowe,wskaźnik rentowności obrotu netto,"przychody netto ze sprzedaży produktów, towarów i materiałów",wartość sprzedanych towarów i materiałów,należności krótkoterminowe z tytułu dostaw i usług,zapasy - towary,wskaźnik poziomu kosztów,obowiązkowe obciążenia wyniku finansowego brutto - podatek dochodowy,pozostałe koszty operacyjne,koszt sprzedanych produktów,obowiązkowe obciążenia wyniku finansowego brutto,udział przychodów przedsiębiorstw wykazujących zysk netto w przychodach z całokształtu działalności,zapasy - półprodukty i produkty w toku,wynik finansowy na działalności gospodarczej,przychody netto ze sprzedaży produktów,wskaźnik rentowności sprzedaży brutto,inwestycje krótkoterminowe,zobowiązania krótkoterminowe,zapasy - produkty gotowe,pozostałe przychody operacyjne,strata brutto,koszty uzyskania przychodów z całokształtu działalności (koszty ogółem),wskaźnik płynności finansowej II stopnia,wynik finansowy netto,wskaźnik rentowności obrotu brutto,udział liczby przedsiębiorstw wykazujących zysk netto w ogólnej liczbie przedsiębiorstw,należności krótkoterminowe,"wynik finansowy ze sprzedaży produktów, towarów i materiałów",pozostałe przychody operacyjne - dotacje,koszty finansowe,wynik zdarzeń nadzwyczajnych,zapasy - materiały,"zobowiązania krótkoterminowe z tytułu podatków, ceł, ubezpieczeń i innych świadczeń",przychody finansowe,zapasy,zobowiązania krótkoterminowe z tytułu dostaw i usług,strata netto,krótkoterminowe rozliczenia międzyokresowe
2011,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,577,23461858,1477451,1165801,1280937,1350242,78.0,3701841,8290427,7746738,4.4,22278123,3241363,2593385,134008,94.3,315134,517854,17924012,315134,88.8,96070,1346402.0,18576282,5.0,3923378,5028959,64168,869209,127209,22115456,146.3,1035108,5.8,84.4,3434065,1112748,164542,432227,3840.0,431629,615353,314526,744497,1590056,130693,188487
2012,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,590,23581851,1516934,1213815,1409321,1360006,82.2,2958204,8272047,7969006,4.5,22213351,2551057,2522643,100128,94.2,309824,606493,18625057,309824,86.8,69646,1358285.0,19255147,4.7,4022300,4892222,58008,970253,156928,22223566,151.6,1050182,5.8,81.9,3392950,1037237,224600,440959,1721.0,391023,634362,398247,628192,1495304,163633,228605
2013,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,603,25417471,2762871,2452816,1480384,2504302,88.0,2817678,9385443,8385365,8.6,23055751,2445271,2757726,132653,90.1,318000,558304,19437103,318000,82.1,44738,2505457.0,20238073,5.1,4827110,5484138,73169,2054612,258569,22912014,154.2,2186302,9.9,82.3,3628114,1173377,286564,471336,-1155.0,401069,732605,307108,671763,1612736,266514,258456
2014,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,603,25073304,1847162,1495074,1523108,1665133,84.5,2604868,9753780,8483119,5.2,23670559,2213998,2741862,128251,93.4,352371,520978,20256707,352371,85.1,54087,1666968.0,21065691,5.1,5013315,5932520,78744,1112286,182029,23406336,147.9,1312762,6.6,84.7,3760777,1199854,374547,414653,-1835.0,400810,757021,290459,699617,1633723,182312,280071
2015,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,626,26021872,2099581,1731118,1449935,1964990,85.4,2539199,9089526,9548627,6.1,24461664,2177392,2699250,129560,92.4,368548,590686,20904816,368548,86.9,51679,1965801.0,21922465,5.6,4375318,5122347,81405,1292054,134591,24056071,159.3,1596442,7.6,86.3,3787049,1379456,456673,383177,-811.0,344958,718891,268154,649603,1537960,134676,277556
2016,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,653,26763473,2208296,1791937,1494091,2064873,101.7,2142715,10130888,8954220,6.2,25269208,1726177,2935816,104786,92.3,418393,485971,22095947,418393,89.2,64920,,23126493,5.7,5496642,5403858,70015,1271679,143423,24698600,169.5,1646480,7.7,84.7,3663203,1447084,553112,390505,,430601,752781,222586,675830,1762038,145457,295213
2017,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,670,28147743,2106565,1732598,1669020,1907329,99.3,2458365,10749184,8664668,5.4,26504855,1997880,3101623,114480,93.2,376731,630587,23220867,376731,91.5,70881,,24046490,4.9,5774793,5817117,94059,1418001,199236,26240414,167.0,1530598,6.8,82.1,3938867,1286108,585985,391080,,411297,752029,224887,709738,1951528,202000,325786
2018,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,682,30005352,2023258,1650446,1784658,1688046,88.1,2639791,11198026,8381170,4.4,28375834,2155448,3295425,133472,94.4,373033,557386,25217881,373033,84.7,65789,,25736043,3.5,5787298,6568107,94174,1404663,335212,28317306,153.6,1315013,5.6,79.9,4298105,1002505,639958,386591,,438787,841181,224855,755529,2181765,335433,357094
2019,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,686,32779186,2263320,1889090,1662019,2108620,81.9,2440700,12477531,8198476,5.3,31107014,1917972,3617607,175816,93.6,380108,580055,27796604,380108,83.2,67847,,28666314,4.5,5858324,7155238,106425,1384959,154700,30670566,157.4,1728512,6.4,80.8,5401392,1392438,683141,375935,,471808,968094,287213,839210,2347136,160578,378605
2020,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,685,36664426,3289880,2778286,1782322,3111667,86.4,2168912,13906986,8182317,7.1,34600531,1700644,4075448,167744,91.5,522680,899776,30589666,522680,83.3,52825,,32431619,6.7,6437570,7447222,87817,1825162,178213,33552759,170.0,2588987,8.5,80.1,6221536,2310221,766810,362673,,488596,1148306,238733,818154,2338193,189299,429726
