rok,rodzaj,przedsiębiorstwa objęte badaniem,przychody z całokształtu działalności (przychody ogółem),zysk brutto,zysk netto,kredyty bankowe i pożyczki,wynik finansowy brutto,wskaźnik płynności finansowej I stopnia,przychody netto ze sprzedaży towarów i materiałów,aktywa obrotowe,zobowiązania długoterminowe,wskaźnik rentowności obrotu netto,"przychody netto ze sprzedaży produktów, towarów i materiałów",wartość sprzedanych towarów i materiałów,należności krótkoterminowe z tytułu dostaw i usług,zapasy - towary,wskaźnik poziomu kosztów,obowiązkowe obciążenia wyniku finansowego brutto - podatek dochodowy,pozostałe koszty operacyjne,koszt sprzedanych produktów,obowiązkowe obciążenia wyniku finansowego brutto,udział przychodów przedsiębiorstw wykazujących zysk netto w przychodach z całokształtu działalności,zapasy - półprodukty i produkty w toku,wynik finansowy na działalności gospodarczej,przychody netto ze sprzedaży produktów,wskaźnik rentowności sprzedaży brutto,inwestycje krótkoterminowe,zobowiązania krótkoterminowe,zapasy - produkty gotowe,pozostałe przychody operacyjne,strata brutto,koszty uzyskania przychodów z całokształtu działalności (koszty ogółem),wskaźnik płynności finansowej II stopnia,wynik finansowy netto,wskaźnik rentowności obrotu brutto,udział liczby przedsiębiorstw wykazujących zysk netto w ogólnej liczbie przedsiębiorstw,należności krótkoterminowe,"wynik finansowy ze sprzedaży produktów, towarów i materiałów",pozostałe przychody operacyjne - dotacje,koszty finansowe,wynik zdarzeń nadzwyczajnych,zapasy - materiały,"zobowiązania krótkoterminowe z tytułu podatków, ceł, ubezpieczeń i innych świadczeń",przychody finansowe,zapasy,zobowiązania krótkoterminowe z tytułu dostaw i usług,strata netto,krótkoterminowe rozliczenia międzyokresowe
2011,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,577,23461858000,1477451000,1165801000,1280937000,1350242000,0.78,3701841000,8290427000,7746738000,0.044000000000000004,22278123000,3241363000,2593385000,134008000,0.943,315134000,517854000,17924012000,315134000,0.888,96070000,1346402000.0,18576282000,0.05,3923378000,5028959000,64168000,869209000,127209000,22115456000,1.463,1035108000,0.057999999999999996,0.8440000000000001,3434065000,1112748000,164542000,432227000,3840000.0,431629000,615353000,314526000,744497000,1590056000,130693000,188487000
2012,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,590,23581851000,1516934000,1213815000,1409321000,1360006000,0.8220000000000001,2958204000,8272047000,7969006000,0.045,22213351000,2551057000,2522643000,100128000,0.9420000000000001,309824000,606493000,18625057000,309824000,0.868,69646000,1358285000.0,19255147000,0.047,4022300000,4892222000,58008000,970253000,156928000,22223566000,1.516,1050182000,0.057999999999999996,0.8190000000000001,3392950000,1037237000,224600000,440959000,1721000.0,391023000,634362000,398247000,628192000,1495304000,163633000,228605000
2013,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,603,25417471000,2762871000,2452816000,1480384000,2504302000,0.88,2817678000,9385443000,8385365000,0.086,23055751000,2445271000,2757726000,132653000,0.9009999999999999,318000000,558304000,19437103000,318000000,0.821,44738000,2505457000.0,20238073000,0.051,4827110000,5484138000,73169000,2054612000,258569000,22912014000,1.5419999999999998,2186302000,0.099,0.823,3628114000,1173377000,286564000,471336000,-1155000.0,401069000,732605000,307108000,671763000,1612736000,266514000,258456000
2014,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,603,25073304000,1847162000,1495074000,1523108000,1665133000,0.845,2604868000,9753780000,8483119000,0.052000000000000005,23670559000,2213998000,2741862000,128251000,0.934,352371000,520978000,20256707000,352371000,0.851,54087000,1666968000.0,21065691000,0.051,5013315000,5932520000,78744000,1112286000,182029000,23406336000,1.479,1312762000,0.066,0.8470000000000001,3760777000,1199854000,374547000,414653000,-1835000.0,400810000,757021000,290459000,699617000,1633723000,182312000,280071000
2015,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,626,26021872000,2099581000,1731118000,1449935000,1964990000,0.8540000000000001,2539199000,9089526000,9548627000,0.061,24461664000,2177392000,2699250000,129560000,0.924,368548000,590686000,20904816000,368548000,0.8690000000000001,51679000,1965801000.0,21922465000,0.055999999999999994,4375318000,5122347000,81405000,1292054000,134591000,24056071000,1.5930000000000002,1596442000,0.076,0.863,3787049000,1379456000,456673000,383177000,-811000.0,344958000,718891000,268154000,649603000,1537960000,134676000,277556000
2016,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,653,26763473000,2208296000,1791937000,1494091000,2064873000,1.0170000000000001,2142715000,10130888000,8954220000,0.062000000000000006,25269208000,1726177000,2935816000,104786000,0.923,418393000,485971000,22095947000,418393000,0.892,64920000,,23126493000,0.057,5496642000,5403858000,70015000,1271679000,143423000,24698600000,1.695,1646480000,0.077,0.8470000000000001,3663203000,1447084000,553112000,390505000,,430601000,752781000,222586000,675830000,1762038000,145457000,295213000
2017,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,670,28147743000,2106565000,1732598000,1669020000,1907329000,0.993,2458365000,10749184000,8664668000,0.054000000000000006,26504855000,1997880000,3101623000,114480000,0.932,376731000,630587000,23220867000,376731000,0.915,70881000,,24046490000,0.049,5774793000,5817117000,94059000,1418001000,199236000,26240414000,1.67,1530598000,0.068,0.821,3938867000,1286108000,585985000,391080000,,411297000,752029000,224887000,709738000,1951528000,202000000,325786000
2018,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,682,30005352000,2023258000,1650446000,1784658000,1688046000,0.881,2639791000,11198026000,8381170000,0.044000000000000004,28375834000,2155448000,3295425000,133472000,0.9440000000000001,373033000,557386000,25217881000,373033000,0.8470000000000001,65789000,,25736043000,0.035,5787298000,6568107000,94174000,1404663000,335212000,28317306000,1.536,1315013000,0.055999999999999994,0.799,4298105000,1002505000,639958000,386591000,,438787000,841181000,224855000,755529000,2181765000,335433000,357094000
2019,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,686,32779186000,2263320000,1889090000,1662019000,2108620000,0.8190000000000001,2440700000,12477531000,8198476000,0.053,31107014000,1917972000,3617607000,175816000,0.9359999999999999,380108000,580055000,27796604000,380108000,0.8320000000000001,67847000,,28666314000,0.045,5858324000,7155238000,106425000,1384959000,154700000,30670566000,1.574,1728512000,0.064,0.8079999999999999,5401392000,1392438000,683141000,375935000,,471808000,968094000,287213000,839210000,2347136000,160578000,378605000
2020,Dostawa wody; gospodarowanie ściekami i odpadami oraz działalność związana z rekultywacją,685,36664426000,3289880000,2778286000,1782322000,3111667000,0.8640000000000001,2168912000,13906986000,8182317000,0.071,34600531000,1700644000,4075448000,167744000,0.915,522680000,899776000,30589666000,522680000,0.833,52825000,,32431619000,0.067,6437570000,7447222000,87817000,1825162000,178213000,33552759000,1.7,2588987000,0.085,0.8009999999999999,6221536000,2310221000,766810000,362673000,,488596000,1148306000,238733000,818154000,2338193000,189299000,429726000
2011,"Działalność profesjonalna, naukowa i techniczna",515,35066628000,3401702000,3020226000,1109620000,2771811000,0.685,2897623000,16237606000,6605749000,0.068,31436827000,2374348000,6234931000,97003000,0.9209999999999999,378909000,1100302000,27554081000,378909000,0.902,287372000,2771578000.0,28539204000,0.048,6035707000,8809485000,9248000,1407693000,629891000,32295050000,1.6630000000000003,2392902000,0.079,0.79,8617774000,1508398000,86687000,1266319000,233000.0,167784000,738374000,2222108000,584571000,3706091000,627324000,999554000
